,ID,Category,lat,lng
1,4b7b884ff964a5207d662fe3,Ramen /  Noodle House,35.71558112,139.8003173
3,4c178638c2dfc928651ea869,Food & Drink Shop,35.72559199,139.7766326
9,4b5c7671f964a520083129e3,Ramen /  Noodle House,35.69312098,139.6994475
13,4ba88a28f964a52028df39e3,Ramen /  Noodle House,35.70918971,139.7738218
49,4b64f0e3f964a5203cdb2ae3,Fast Food Restaurant,35.57741391,139.6604615
60,4f534895e4b006151584808a,Restaurant,35.62721384,139.7143219
63,4dc24f03b0fb490416ac11b7,Food & Drink Shop,35.75502786,139.8769855
78,4ddb7a4ffa7637ab73db3f99,Food & Drink Shop,35.57869227,139.5736492
83,4b553487f964a5208fde27e3,Food & Drink Shop,35.69127806,139.7112519
90,4b98e261f964a520365435e3,Food & Drink Shop,35.70605506,139.6482173
98,4b6fe136f964a520b4fe2ce3,Coffee Shop,35.68968344,139.7007859
121,4b72c558f964a520d2872de3,Japanese Restaurant,35.65250591,139.5446062
122,4b5829f4f964a520a44c28e3,Coffee Shop,35.69101665,139.7039187
128,4b5e4928f964a520c68729e3,Fast Food Restaurant,35.64671982,139.7456941
133,4cde2fce41ed224b1e97d73c,Fried Chicken Joint,35.78917058,139.6615685
135,4b5a3b6cf964a52026b628e3,Fast Food Restaurant,35.57454189,139.6583265
138,4df7423e483b96f73159a256,Japanese Restaurant,35.598386,139.666957
147,4ee8aab693ad8b68e9b0c649,Food & Drink Shop,35.66443546,139.7351611
162,4dc04611043706a0321210d4,Bar,35.69484622,139.7046751
208,4b85bf0ef964a520a37031e3,Food & Drink Shop,35.561434,139.675399
209,4c14496aa9c220a15268579d,Fast Food Restaurant,35.66596085,139.7568387
210,4c0cdca798102d7fd838e106,Ramen /  Noodle House,35.75254206,139.5457797
214,4b565e9ff964a5208a0d28e3,Coffee Shop,35.69746365,139.814238
225,4be3c37799feb713c51882f6,Food & Drink Shop,35.70270085,139.5613378
242,4bc8508214d79521afc768e9,Japanese Restaurant,35.69244786,139.7716767
294,4b8d4091f964a52004f032e3,Internet Cafe,35.67226582,139.4797272
295,4bf9ec948d30d13a97070318,Food & Drink Shop,35.67229962,139.4779962
297,4b4bee5ff964a5207cab26e3,Fast Food Restaurant,35.69980392,139.7718
303,4b763192f964a520a7422ee3,Coffee Shop,35.68997971,139.6973741
315,4b5a46fbf964a5208eb928e3,Coffee Shop,35.70248978,139.580006
320,4b59d5f4f964a520f99a28e3,Fast Food Restaurant,35.69191198,139.7705019
340,4d1a7b6f02a66dcb3d806065,Ramen /  Noodle House,35.550367,139.788622
353,4bf5fbf694b2a59343cfacee,Coffee Shop,35.67946799,139.7414508
369,4c1b7f37b4e62d7fec6dd993,Ramen /  Noodle House,35.73387649,139.7386587
370,4b824c3bf964a52054cf30e3,Coffee Shop,35.67309928,139.7407615
412,4c0cc41398102d7f001ae106,Ramen /  Noodle House,35.62536139,139.7238958
431,4b5982c0f964a520a28a28e3,Fast Food Restaurant,35.68800165,139.6989834
434,4bebcfccb3352d7f53db56d2,Fast Food Restaurant,35.55382601,139.646266
438,4b2acea4f964a52007b024e3,Bakery,35.69103408,139.6994984
447,4f50329ee4b07af68d5145d4,Bar,35.70836196,139.6140999
456,4bb5e68a2ea1952153dcaa2f,Fast Food Restaurant,35.63658017,139.5876675
460,4b7e1ecef964a52071e32fe3,Coffee Shop,35.58094572,139.6415091
465,4b64d12ff964a52065d22ae3,Coffee Shop,35.6906681,139.7008288
484,4df1904ae4cda09e6d9b27fb,Burger Joint,35.66960423,139.6804547
490,4c103a4781e976b042e50eeb,Food & Drink Shop,35.65468573,139.7573041
528,4d76c3eb41526ea80615598a,Coffee Shop,35.656782,139.795761
530,4b5bcc94f964a520db1629e3,Coffee Shop,35.51499374,139.6655095
540,4b84bf13f964a520014331e3,Bakery,35.6476938,139.7445983
549,4b6260a5f964a5200f452ae3,Sandwich Place,35.6810284,139.7769521
571,4b56746ff964a520181128e3,Fast Food Restaurant,35.65605946,139.7043103
573,4b664b96f964a520c61c2be3,Coffee Shop,35.64041261,139.7475075
583,4c93701e1221b1f7defb19e2,Bar,35.67212095,139.7573671
602,4b62271cf964a520cf382ae3,Coffee Shop,35.70194069,139.7436315
617,4f7423f4e4b0c1f44634bb7c,Food & Drink Shop,35.74583535,139.6095095
627,4b4fbac7f964a520ea1227e3,Coffee Shop,35.64616845,139.7078965
629,4b6795c4f964a5204e562be3,Food & Drink Shop,35.717957,139.765206
649,4b8c3669f964a52068c432e3,Restaurant,35.73115924,139.7295177
655,4c371bd71e06d13aa344753e,Food & Drink Shop,35.73648915,139.4887519
657,4e292cfc45ddfe8f9df97d0f,Bakery,35.696329,139.757724
662,4b3c3b13f964a5202d8325e3,Food & Drink Shop,35.5222417,139.7323072
671,4b558749f964a52096e627e3,Fast Food Restaurant,35.744804,139.6064214
692,4b779bc6f964a520c9a32ee3,Food & Drink Shop,35.62641334,139.7123945
698,4c69c6f62c29d13a002e0c41,Coffee Shop,35.65077539,139.7488832
707,4b5ea99ef964a520439529e3,Fast Food Restaurant,35.553209,139.6464155
709,4bbd20d3a8cf76b0d977b1fd,French Restaurant,35.65945149,139.7284829
711,4c004bb4369476b0de358f1f,Coffee Shop,35.66393425,139.6980286
713,4b5d355bf964a520905629e3,Fast Food Restaurant,35.62241914,139.7500956
716,4f4ee6c06b74573a2d99f6ea,Ramen /  Noodle House,35.68607583,139.7760057
723,4b6113c2f964a520de082ae3,Ramen /  Noodle House,35.679792,139.777502
726,4b74eaebf964a52009f82de3,Food & Drink Shop,35.64317123,139.6464322
729,4b581fe9f964a5209d4b28e3,Chinese Restaurant,35.644101,139.670306
731,4d3827b3fe80a1cd951b829f,Ramen /  Noodle House,35.67190373,139.7677912
733,4b74dac6f964a52060f52de3,Ramen /  Noodle House,35.69617281,139.7708881
734,4c26caa65c5ca59308e546fe,Korean Restaurant,35.69794809,139.8138061
741,4b5bc2e0f964a520ad1429e3,Food & Drink Shop,35.770128,139.660808
745,4bfa67265ec320a19c888bd3,Chinese Restaurant,35.68912575,139.6968618
746,4ca8107cb0b8236acc2bb0e6,Burger Joint,35.686476,139.784404
749,4ba24245f964a520b2e737e3,Ramen /  Noodle House,35.6066065,139.6853272
752,4dfebb9588779f08f996a895,Ramen /  Noodle House,35.71220623,139.7775513
753,4b729571f964a520647f2de3,Coffee Shop,35.64471332,139.6987383
755,4bb16e7af964a52009933ce3,Ramen /  Noodle House,35.68249856,139.7858977
759,4c7b25c7566db60ce2544a0e,Ramen /  Noodle House,35.5881554,139.7273455
760,4d79911a18db6ea896ef5453,Asian Restaurant,35.69995966,139.7630936
763,4b86316af964a520488231e3,Coffee Shop,35.68474424,139.7634135
764,4ce9c12c75c62c0f8abbe757,Italian Restaurant,35.68681349,139.773637
765,4bc14fc6abf495215bfcc093,Chinese Restaurant,35.72187022,139.7058365
767,4b71529df964a52019412de3,Ramen /  Noodle House,35.70140705,139.75384
769,4b9a0126f964a520b09a35e3,Ramen /  Noodle House,35.62934947,139.7421134
