,ID,Category,lat,lng
7,4b3eae5cf964a520b4a025e3,Train Station,35.70025263,139.4802547
10,4b5ed39cf964a520079a29e3,Airport,35.54896343,139.7846114
15,4b53b05ef964a520e8a727e3,Train Station,35.7495381,139.5865399
17,4b6e3e46f964a520e2b32ce3,Train Station,35.72902543,139.7110963
18,4b3b5742f964a520ad7225e3,Train Station,35.55319973,139.6468145
19,4b243a7df964a520356424e3,Train Station,35.72986464,139.7109556
20,4b4162b1f964a52016c625e3,Train Station,35.64592362,139.8269248
21,4b678b3bf964a52090542be3,Train Station,35.73022733,139.7111607
26,4b0587a6f964a5203e9e22e3,Train Station,35.68137872,139.7660816
27,4b4f2be8f964a52025fc26e3,Train Station,35.73792608,139.7610283
29,4b56cff7f964a520df1b28e3,Train Station,35.74660804,139.7469091
30,4b4d45eff964a520d7cf26e3,Train Station,35.56068371,139.7237302
31,4b5dec1df964a520ed7329e3,Train Station,35.60910079,139.5163035
32,4b5da9e0f964a520bb6529e3,Subway,35.74880451,139.7195989
34,4b8c5418f964a520e3ca32e3,Subway,35.68220662,139.798767
36,4b5a86faf964a520d3c928e3,Post Office,35.67722452,139.6824708
38,4b564827f964a5201f0928e3,Train Station,35.77209986,139.5198977
41,4b572f46f964a520fc2928e3,Train Station,35.64461364,139.5024687
43,4b5704a1f964a520092328e3,Train Station,35.76612579,139.8092237
44,4b0587a6f964a5203d9e22e3,Train Station,35.69080269,139.7002792
45,4b286109f964a520ee9224e3,Train Station,35.6400427,139.5987386
47,4b5873bcf964a5206e5828e3,Train Station,35.76291574,139.7276831
52,4b5bac4af964a520200f29e3,Subway,35.55002896,139.633677
53,4b1fb0dff964a520192824e3,Train Station,35.60753808,139.6688391
56,4b5a4723f964a5209eb928e3,Train Station,35.6281212,139.737982
57,4b5ad5bef964a520b0d628e3,Train Station,35.75086595,139.8669004
58,4b07d113f964a520360023e3,Train Station,35.61149947,139.6266174
59,4b5583def964a52032e627e3,Train Station,35.73651528,139.7468233
61,4b74709af964a520c1dc2de3,Train Station,35.71295471,139.7037041
62,4b7481e1f964a520bde02de3,Subway,35.73027306,139.7113779
64,4b093eeff964a520e51423e3,Train Station,35.65852173,139.701326
67,4b5ed34ef964a520ff9929e3,Airport,35.55137977,139.7884083
71,4b2692f9f964a520be7d24e3,Subway,35.68859747,139.7106913
73,4b80e732f964a520399130e3,Train Station,35.75649928,139.8753119
74,4b55a34ef964a520fde927e3,Train Station,35.75626039,139.6945866
77,4b7535c3f964a52020012ee3,Train Station,35.55863317,139.5515156
81,4b4fb4aff964a520c01127e3,Train Station,35.6205179,139.7508198
84,4b957efef964a520cba534e3,Train Station,35.57209628,139.7028834
85,4b5599caf964a5209be827e3,Subway,35.66959007,139.8175974
86,4bd6b3024e32d13a50f6c280,Subway,35.66458473,139.8593742
91,4b6a8c00f964a5204fd82be3,Train Station,35.65948428,139.7002065
92,4b544ec2f964a52014b727e3,Train Station,35.84768054,139.6691492
93,4b5638fbf964a520110628e3,Train Station,35.82842623,139.8034662
94,4c442e78dcd61b8d32ed7a56,Train Station,35.85915698,139.6569425
95,4b2837d8f964a5200e9124e3,Train Station,35.56238729,139.7159528
96,4b9b8cd2f964a520c30e36e3,Subway,35.67567472,139.7634637
97,4bb5a5062f70c9b6746c8430,Train Station,35.67459836,139.7777009
99,4b66c862f964a520aa2a2be3,Subway,35.60542847,139.7136497
100,4b3dcda5f964a520e29625e3,Train Station,35.74588638,139.8562927
101,4b68b2c8f964a520d0872be3,Train Station,35.57490949,139.6632457
102,4cec9db113aea143694c629f,Train Station,35.6071318,139.7347739
105,4b24a8eef964a520466924e3,Train Station,35.60375363,139.5075917
106,4b24aa1ff964a520506924e3,Train Station,35.70462192,139.619987
108,4b557834f964a52022e527e3,Train Station,35.71678759,139.8582637
111,4b0c8748f964a520d03e23e3,Train Station,35.53694083,139.6348679
112,4be4b915bcef2d7fa60203e5,Train Station,35.84756205,139.6693772
115,4b5e34f8f964a520bb8329e3,Subway,35.69604865,139.7512382
116,4b971b9ff964a5205ff834e3,Subway,35.68468154,139.7660494
117,4b5ccea3f964a520044529e3,Train Station,35.64573181,139.747569
119,4b63e7fdf964a5208a962ae3,Train Station,35.74399572,139.8115718
120,4dc5e8f5e4cd169dc659fe4d,Subway,35.79187911,139.6458757
124,4b79e27df964a5204c182fe3,Train Station,35.73679396,139.6377647
125,4b56d1eff964a520171c28e3,Train Station,35.740912,139.716762
126,4b567b47f964a520651228e3,Subway,35.72578541,139.7298717
131,4c0f80b67189c928f11bdab6,Train Station,35.65455023,139.7567421
132,4cd9d48e3b85a35d1f9f2e9d,Train Station,35.56077516,139.6709672
136,4b5ef219f964a520569f29e3,Train Station,35.72777124,139.7709632
140,4b669d8af964a52097252be3,Subway,35.64693934,139.7473598
141,4b54fad0f964a52057d627e3,Subway,35.66360738,139.8727047
142,4b0587bbf964a5209aa122e3,Train Station,35.70537552,139.6498615
144,4b4327e6f964a5209fdc25e3,Train Station,35.65561814,139.7567421
146,4b19f917f964a520abe623e3,Train Station,35.6985962,139.7730182
148,4b426f4af964a520ecd325e3,Train Station,35.56103556,139.6710375
149,4b467c9af964a5206c2226e3,Subway,35.68211947,139.8003387
150,4b7f94edf964a520573530e3,Train Station,35.56866646,139.553412
152,4b600990f964a520e3d329e3,Train Station,35.66669205,139.7581327
153,4b19f837f964a520a2e623e3,Train Station,35.71362077,139.7765178
156,4b5409faf964a520e6b027e3,Train Station,35.60978987,139.7496986
158,4b60c0acf964a52063f729e3,Train Station,35.84562439,139.6469802
159,4b563a0af964a520450628e3,Train Station,35.74757458,139.8401856
161,4b3854eef964a520a14d25e3,Train Station,35.71048066,139.8133099
163,4bb70c132f70c9b641408630,Train Station,35.57572976,139.6596515
164,4b84c06cf964a520334331e3,Subway,35.70058589,139.764035
165,4b57022df964a520a92228e3,Train Station,35.80785559,139.8450378
166,4b52d2cff964a520bb8827e3,Train Station,35.74355324,139.6070272
167,4b559c09f964a520efe827e3,Train Station,35.8587396,139.6572858
