,ID,Category,lat,lng
0,4f0fd5a8e4b03856eeb6c8cb,Cosmetics Shop,35.70510109,139.61959
2,4c16fdda96040f477cc473a5,Convenience Store,35.71454217,139.480065
5,4b83b207f964a5202c0d31e3,Furniture / Home Store,35.70507418,139.6195023
6,4ea281c302d529c116a57755,Convenience Store,35.70627722,139.6177822
12,4e538e91483b944199dede7a,Convenience Store,35.75075116,139.582059
16,4b5a91e5f964a520cbcb28e3,Convenience Store,35.61388937,139.7248024
28,4c21de7c9a67a593f285db87,Convenience Store,35.57877735,139.7340694
35,4bd42ea4b221c9b63a1fdbd0,Convenience Store,35.64405782,139.8247576
37,4ea03c1c7beb6623c1449ee0,Convenience Store,35.67685564,139.6824074
50,4b5d2ad2f964a520535529e3,Convenience Store,35.55243051,139.6474917
76,4f7b7210e4b0de4ca14a9af8,Candy Store,35.61526745,139.7200334
79,4dce184bd4c065592f76ecff,Mall,35.57874899,139.5736599
88,4bb497cd15809c74877f1fdd,Mall,35.71572485,139.8594654
103,4b56deb5f964a5208e1d28e3,Convenience Store,35.62137029,139.749319
113,4b0587a6f964a520529e22e3,Mall,35.66051289,139.7292119
114,4d5255a107b1a0905233123c,Convenience Store,35.67320333,139.7604684
154,4b5da942f964a520a26529e3,Convenience Store,35.57668092,139.6596354
181,4e5075afd164978659da0746,Toy / Game Store,35.69989455,139.7693587
188,4b56cbfcf964a520741b28e3,Mall,35.67807896,139.7670624
189,4dd55c40cc3fcff060de9532,Convenience Store,35.61508865,139.5792603
196,4e484a4b18a8f9804ce24340,Flower Shop,35.533384,139.685275
198,4b746edbf964a5204fdc2de3,Convenience Store,35.6672683,139.7387123
218,4b5db97ff964a5209a6829e3,Convenience Store,35.60837696,139.6706532
222,4d3e2aa43ec9a35dbf135881,Convenience Store,35.71067667,139.8144364
224,4f72aabce4b0a4b289c3b1c6,Convenience Store,35.67787927,139.7355572
228,4b9909daf964a520545d35e3,Convenience Store,35.61022491,139.7358236
235,4b56c2aef964a520881a28e3,Miscellaneous Shop,35.69767911,139.7540251
237,4c9c4ed69c48236a82094dee,Convenience Store,35.70509238,139.5614129
239,4b5755cdf964a520153228e3,Video Store,35.70452608,139.5615417
245,4b98954ff964a520b84735e3,Convenience Store,35.62188679,139.7509209
268,4cc8d012d338236ab6339f7c,Convenience Store,35.68435257,139.7371995
277,4b8a02f4f964a5208e5b32e3,Miscellaneous Shop,35.70853034,139.7956295
312,4b837896f964a5203f0731e3,Convenience Store,35.670363,139.743305
318,4deefea9d4c0e9e23b73eb5f,Convenience Store,35.66745134,139.8032355
335,4e6ea5d11f6e63a4ea6fb39f,Smoke Shop,35.710602,139.797917
341,4c47c32e1ddec9287f949e32,Convenience Store,35.68708232,139.7654593
350,4b73ecf6f964a52059c02de3,Convenience Store,35.5813231,139.748733
351,4b6e49c0f964a5206ab62ce3,Convenience Store,35.6691924,139.6237287
359,4b5be971f964a520e31c29e3,Mall,35.66735111,139.803949
376,4bac613bf964a5209ff23ae3,Convenience Store,35.5665972,139.7363251
401,4be956986af1ef3b2bbf1b96,Convenience Store,35.73287495,139.7135559
407,4b8918fff964a5208d1c32e3,Convenience Store,35.553754,139.578166
442,4eb101f19adf1abeff96b11a,Convenience Store,35.68213207,139.7718522
444,4b5c1434f964a520722329e3,Mall,35.67309711,139.759942
451,4d9bdba7cbc96ea83b5cf525,Convenience Store,35.70880686,139.613846
452,4b5989c8f964a520a18b28e3,Convenience Store,35.73900204,139.7618412
458,4b67d893f964a520235f2be3,Convenience Store,35.65024339,139.7470784
467,4f0d1e8be4b0d2af7195dc7c,Convenience Store,35.68241141,139.6874177
475,4c8872b2a0ffb60cb47522c5,Mall,35.73335395,139.8820147
478,4b5bb4d6f964a5203c1129e3,Miscellaneous Shop,35.67173922,139.7240831
488,4bbac03d7421a593ed2dc440,Convenience Store,35.62790675,139.7407722
493,4b59250df964a520d37e28e3,Convenience Store,35.62612991,139.7409117
498,4d104081c3dc3704910f3874,Mall,35.63627794,139.7332085
504,4b1885cef964a520ced323e3,Electronics Store,35.66184659,139.6998096
516,4b63ca9ef964a520c5912ae3,Department Store,35.69236726,139.7047046
